,kanji,hiragana/katakana,persian,english
3760,発表,はっぴょう,اعلام کردن,
3761,発布,はっぷ,اعلامیه,
3762,髪型,かみがた,مدل مو,
3763,罰金,ばっきん,جریمه نقدی,fine
3764,抜歯,ばっし,کشیدن دندان,
3765,伴侶,はんりょ,همسر,
3766,判断,はんだん,ارزیابی / قضاوت,
3767,判断する,はんだんする,برای تصمیم گیری,
3768,判定,はんてい,قضاوت یا داوری,"judgment,decision"
3769,判例,はんれい,سابقه,
3770,半額,はんがく,نصف قیمت,
3771,半径,はんけい,شعاع,
3772,半端ない,はんぱない,ناقص,
3773,半島,はんとう,شبه جزیره,
3774,半導体チップ,はんどうたいちっぷ,تراشه نیمه هادی,
3775,半導体メモリ,はんどうたいメモリ,حافظه نیمه رسانا / فلش / مموری,
3776,半分,はんぶん,نصف ,
3777,反応する,はんのう,واکنش نشان دهند,react to
3778,反省,はんせい,توصیه,
3779,反対,はんたい,مخالفت,
3780,反対方向,はんたいほうこう,جهت مخالف,
3781,反復,はんぷく,تکرار,While
3782,反復処理,はんぷくしょり,فرآیند تکرار,
3783,汎用的,はんようてき,هدف کلی,
3784,犯す,おかす,مرتکب شدن,
3785,犯罪,はんざい,جرم,
3786,犯罪を犯す,はんざいをおかす,ارتکاب جرم,
3787,犯人が捕まる,はんにんがつかまる,مقصر دستگیر شده است,
3788,繁忙期,はんぼうき,فصل شلوغ,
3789,販売,はんばい,فروختن چیزی,
3790,範囲,はんい,"محدوده ، دامنه",range
3791,範囲外,はんいがい,خارج از محدوده,
3792,挽,ひき,آسیاب کردن,
3793,挽肉,ひきにく,گوشت چرخکرده,
3794,晩ご飯,ばんごはん,غذای شب,
3795,番号,ばんごう,شماره,
3796,番組,ばんぐみ,برنامه,
3797,否定する,ひていする,انکار,negation
3798,彼,かれ,او,
3799,悲しい,かなしい,غم انگیز,
3800,扉,とびら,در خانه,
3801,比べる,くらべる,مقایسه,compare
3802,比較,ひかく,مقایسه کردن,
3803,比較する,ひかくする,مقایسه کردن,to compare
3804,比較的,ひかくてき,نسبتا,relatively
3805,比較的綺麗,ひかくてききれい,نسبتا تمیز,
3806,比率で,ひりつで,به نسبت,
3807,疲れる,つかれる,خسته شدن,
3808,疲労がたまる,ひろうがたまる,من خسته شدم,
3809,疲労が回復する,ひろうがかいふくする,خستگی ام رو رفع کرد,
3810,皮肉な,ひにくな,کنایه آمیز,
3811,皮膚,ひふ,پوست,skin
3812,皮膚につける薬,ひふにつけるくすり,داروهای اعمال شده روی پوست,
3813,秘めた,ひめた,پنهان شده است,
3814,秘密,ひみつ,راز ها / اسرار,
3815,被害,ひがい,خسارت,
3816,費,ひ,هزینه,
3817,費用,ひよう,هزینه ها,
3818,費用は,ひようは,هزینه ها,
3819,避ける,よける,اجتناب کردن / جلوگیری از ,step aside
3820,避難する,ひなんする,برای پناه بردن,
3821,非常に,ひじょうに,"بسیار بالا
خیلی زیاد",
3822,非難する,ひなん,مقصر کردن,
3823,非売品です,ひばいひんです,برای فروش نیست,
3824,非表示,ひひょうじ,"پنهان ، مخفی",hidden
3825,飛ばして,とばして,از آن میگذره,
3826,飛ばす,とばす,پاس دادن,
3827,飛び込んだ,とびこんだ,پرید داخل,
3828,飛ぶ,とぶ,پرواز,
3829,飛行機,ひこうき,هواپیما,
3830,飛行場,ひこうじょう,باند فرود هواپیما,
3831,備えた,そなえた,آمادگی,
3832,備える,そなえる,آماده کردن,
3833,備考,びこう,"یادداشت ها ، اظهارات",
3834,微分,びぶん,دیفرانسیل,
3835,眉毛,まゆげ,ابرو,
3836,美しい,うつくしい,زیبا,
3837,美女,びじょ,زن زیبا,
3838,美人,びじん,فرد زیبا,
3839,美品,びひん,محصولات زیبایی,
3840,美味しい,おいしい,خوشمزه,
3841,美容,びよう,زیبایی,beauty
3842,鼻,はな,بینی,
3843,髭,ひげ,ریش و سیبیل,
3844,膝,ひざ,زانو,
3845,必ず,かならず,مسلماً,
3846,必ずしも,かならずしも,لزوما,not necessarily
3847,必着,ひっちゃく,باید برسد,
3848,必要,ひつよう,نیاز,
3849,必要分,ひつようぶん,قسمت مورد نیاز,
3850,筆,ふで,قلم مو,
3851,筆記,ひっき,کتبی,
3852,筆記試験,ひっきしけん,آزمون کتبی,
3853,紐,ひも,زنجیر طناب,
3854,百合,ゆり,گل زنبق,
3855,標高,ひょうこう,ارتفاع از سطح دریا,
3856,標準化,ひょうじゅんか,استاندارد سازی,
3857,標準語,ひょうじゅんご,زبان استاندارد,
3858,標準生物,ひょうじゅんせいぶつ,معاملات آتی,
3859,標準偏差,ひょうじゅんへんさ,انحراف معیار,
3860,標本空間,ひょうほんくうかん,فضای نمونه,
3861,氷,こおり,یخ,
3862,氷水,こうりみず,آب یخ,
3863,表,ひょう,جدول,
3864,表引き,ひょうびき,ایندکس,index
3865,表現,ひょうげん,بیان,
3866,表情,ひょうじょう,حالت چهره,
3867,表面,ひょうめん,سطح,surface
3868,表面張力,ひょうめんちょうりょく,کشش سطحی,
3870,評価する,ひょうかする,ارزیابی,
3871,評論家,ひょうろんか,منتقد,
3872,病院,びょういん,بیمارستان,
3873,病気,びょうき,مریض,sick
3874,秒,びょう,ثانیه,
3875,品質,ひんしつ,کیفیت,
3876,品物,しなもの,محصولات,
3877,品名,ひんめい,نام محصول,
3878,貧乏,びんぼう,فقیر,
3879,貧乏な人,びんぼうなひと,بدبخت,
3880,瓶,びん,بطری,
3881,不安,ふあん,اضطراب,
3882,不安な,ふあんな,مظطرب,
3883,不安感,ふあんかん,احساس اضطراب,
3884,不可欠です,ふかけつです,ضروری است,
3885,不快指数,ふかいしすう,شاخص ناراحتی,
3886,不具合,ふぐあい,"ایراد ، نقص",defect
3887,不幸な,ふこうな,ناراضی,
3888,不合格,ふごうかく,رد شدن در امتحان,
3889,不在着信,ふざいちゃくしん,تماس از دست رفته,
3890,不使用,ふしよう,استفاده نشده,
3891,不思議,ふしぎ,تعجب کردن,wonder
3892,不思議なポケット,ふしぎなぽけっと,جیب مرموز,
3893,不思議ボケット,ふしぎぼけっと,جعبه شگفت انگیز,
3894,不死,ふし,جاودانگی,
3895,不自由な人,ふじゆうなひと,فرد فلج,
3896,不足,ふそく,کمبود,
3897,不動産,ふどうさん,مشاور املاک,
3898,不得意,ふとくい,خوب نبودن در,
3899,不発揮性,ふはっきせい,عدم عملکرد,
3900,不必要,ふひつよう,بی نیاز,
3901,不変,ふへん,بدون تغییر,
3902,不便,ふべん,نامناسب,
3903,不満,ふまんな,نارضایتی,
3904,不要,ふよう,نیازی نیست,
3905,不利,ふり,نامطلوب,
3906,付き合い,つきあい,همراهی - مصاحبت,
3907,付き合う,つきあう,قرار ملاقات گذاشتن,
3908,付き合っている,つきあっている,دارم قرار میزارم,
3909,付け,つけ,پیوست شده است,
3910,付加製造,ふかぜいぞう,تولید افزودنی,additive manufacturing
3911,付属品,ふぞくひん,تجهیزات جانبی,
3912,付与する,ふよ,اعطا کردن,
3913,夫,おっと,شوهر,
3914,夫妻,ふさい,زن و شوهر,
3915,夫婦間,ふうふかん,بین زن و شوهر,
3916,夫婦喧嘩,ふうふけんか,دعوای زن و شوهر,
3917,婦人の服,ふじんのふく,لباس های زنانه,
3918,布,ぬの,پارچه,
3919,布巾,ふきん,حوله خشک کن,
3920,布製,ぬのせい,محصول پارچه ای,
3921,布団,ふとん,تشک,
3922,布団カバー,ふとんかばー,روکش لحاف,
3923,布団代,ふとんだい,هزینه فوتون,
3924,怖い,こわい,ترسیده,
3925,扶養控除等,ふようこうじょとう,کسر وابستگی و غیره,
3926,敷き詰める,しきつめる,"فرش کردن ، پوشاندن",to cover
3927,敷く,しく,قرار دادن,
3928,敷金,しききん,سپرده ضمانت,
3929,普段,ふだん,به طور معمول,
3930,普段から,ふだんから,"به طور معمول ، همیشه",as a routine
3931,浮く,うく,شناور,
3932,浮気女,うわきおんな,زن خیانت کار,
3933,父親,ちちおや,پدرم (محترمانه,
3934,符号,ふごう,نت (موسیقی),
3935,腐る,くさる,فاسد شدن,
3936,負ける,まける,باختن,
3937,負け犬の遠吠え,まけいぬのとうぼえ,زوزه بازنده,
3938,負の数,ふのかず,عدد منفی,
3939,侮る,あなどる,دست کم گرفتن,
3940,侮辱,ぶじょく,توهین,
3941,武器,ぶき,سلاح,
3942,舞う,まう,رقصیدن,
3943,舞台,ぶたい,صحنه  / سکو,"stage,setting"
3944,部屋,へや,اتاق,
3945,部屋番号,へやばんごう,شماره اتاق,
3946,部下,ぶか,تابع (دستور),
3947,部首,ぶしゅ,رادیکال کانجی,
3948,部長,ぶちょう,رئیس,
3949,部品切り,ぶひんきり,حذف قطعات,
3950,部分,ぶぶん,بخشی,
3951,部分否定,ぶぶんひてい,انکار جزئی,
3952,封筒,ふうとう,پاكت نامه,
3953,風がさっと吹いた,かぜがさっとふいた,باد به سرعت وزید,
3954,風が重々吹いた,かぜがじゅうじゅうふいた,باد به شدت می وزید,
3955,風が飄々吹いた,かぜがひょうひょうふいた,باد به آرامی می وزید,
3956,風景,ふうけい,چشم انداز,
3957,風車,かざぐるま,اسیاب بادی,
3958,風邪,かぜ,سرما خوردگی,
3959,風呂場,ふろば,حمام,
3960,副社長,ふくしゃちょう,معاون رئیس جمهور,vice president
3961,副食,ふくしょく,ظروف جانبی,
3962,復習,ふくしゅう,مرور,
3963,﻿幅6㎝,はば６CM,عرض ۶ سانت,
3964,幅広く,はばひろく,طیف گسترده ,
3965,幅広く活躍中,はばひろくかつやくちゅう,به طور گسترده فعال است,
3966,服,ふく,لباس,
3967,服装,ふくそう,تن پوش,
3968,福祉専門学校,ふくしせんもんがっこう,هنرستان فنی نگهداری از سالمندان,
3969,福利厚生,ふくりこうせい,مزایا,
3970,福利厚生費,ふくりこうせいひ,هزینه رفاهی,
3971,腹,はら,شکم,
3972,腹立つ,はらだつ,خشمگین شدن,
3973,複雑,ふくざつ,پیچیده,
3974,複写,ふくしゃ,کپی کردن,
3975,複製,ふくせい,تکثیر شده,short cut
3976,複製する,ふくせいする,تکرار,
3977,覆う,おおう,پوشش,
3978,覆面,ふくめん,نقاب زده,
3979,払い込む,はらいこむ,"پرداخت کردن با دستگاه
 محصول خریداری شده",
3980,払込票,はらいこみひょう,فیش پرداخت,
3981,沸かす,わかす,جوشاندن,
3982,沸騰させる,ふっとうさせる,جوش آوردن,
3983,沸騰する,ふっとうする,جوشیدن,
3984,仏教,ぶっきょう,بودیسم,
3985,物音,ものうと,صدای چیزی,
3986,"物価が下がる
上がる","ふっかが下がる
・上がる","هزینه زندگی بالا یا 
پایین میره",
3987,物資,ぶっし,تدارکات,
3988,物事,ものごと,چیز ها,
3989,物置,ものおき,انباری,
3990,物理エンジン,ぶつりエンジン,موتور فیزیک,
3991,物理学,ぶつりがく,فیزیک,
3992,物理的に,ぶつりてきに,از نظر فیزیکی,
3993,分かってる。,わかってる。,میدانم.,
3994,分かりました,わかりました,فهمیدم,
3995,分けて,わけて,جدا کردن,
3996,分ける,わける,جدا از هم,
3997,分割,ぶんわり,"تقسیم ، تفکیک","division , split"
3998,分割納入可,"ぶんかつ
のうにゅうか","امکان پرداخت 
اقساطی",
3999,分割払いをする,ぶんかつばらい,قسط بندی کردن,
4000,分岐,ぶんき,شاخه,branch
4001,分散,ぶんさん,پراکندگی,
4002,分析,ぶんせき,تجزیه و تحلیل,
4003,分納,ぶんのう,پرداخت اقساطی,
4004,分納払い,ぶんのうばらい,پرداخت اقساطی,
4005,分野,ぶんや,"زمینه ، دامنه","field,domain"
4006,分野で,。。。ぶんやで,در زمینه ...,
4007,分量,ぶんりょう,"میزان ، وزن",
4008,分類,ぶんるい,طبقه بندی,
4009,分類する,ぶんるいする,طبقه بندی,classify
4010,噴火する,ふんかする,انفجار آتشفشانی,erupt
4011,噴霧する,ふんむする,"افشانه، اسپری",
4012,粉が,こなが,پودر,
4013,粉末洗剤,ふんまつせんざい,پودر شوینده,
4014,粉薬,こなぐすり,داروی پودری,
4015,紛争解決,"ふんそう
かいけつ",حل اختلاف,
4016,雰囲気,ふんいき,جو,
4017,文,ぶん,جمله,
4018,文化,ぶんか,فرهنگ,
4019,文化遺産,ぶんかいさん,میراث فرهنگی,
4020,文化交流,ぶんかこうりゅう,تبادل فرهنگی,
4021,文句,もんく,شکایت,
4022,文句を言う,もんくをいう,شاکی بودن,to complain
4023,文芸,ぶんげい,ادبیات,
4024,文字,もじ,حرف,
4025,文部科学省,もんぶかがくしょう,وزارت آموزش و پرورش,
4026,文法,ぶんぽう,دستور زبان,
4027,文房具,ぶんぼうぐ,لوازم التحریر,
4028,文明開花,ぶんめいかいか,تمدن و روشنگری,
4029,文明的な,ぶんめいてきな,متمدن,
4030,平らにする,たいらにする,آن را صاف کنید,
4031,平らに盛る,たいらにもる,آن را صاف پهن کنید,
4032,平均,へいき,میانگین,
4033,平均点数,へいきんてんすう,میانگین امتیاز,
4034,平素より,へいそより,به طور معمول,
4035,平日,へいじつ,روزهای کاری,weekday
4036,平和,へいわ,صلح,
4037,弊社,へいしゃ,شرکت ما,
4038,柄,がら,طرح روی چیزی,
4039,並ぶ,ならぶ,به صف شدن,
4040,並べ替え,ならべがえ,مرتب سازی,
4041,並盛り,なみざかり,اندازه متوسط,
4042,並木,なみき,درختان چیده شده,
4043,並木道,なみきみち,خیابان پر درخت,
4044,閉じる,とじる,بستن (چیزای کوچک,
4045,閉会,へいかい,اختتامیه,
4046,閉店,へいてん,بسته شدن فروشگاه,closing of a store
4047,別に,べつに,جداگانه,
4048,別の,べつの,یکی دیگه,
4049,別れる,わかれる,به هم زدن رابطه,
4050,別珍,べっちん,مخملی,
4051,別途,べっと,بصورت جداگانه,
4052,別途基準,べっときじゅん,استاندارد جداگانه,
4053,別々,べつべつ,جدا جدا,
4054,変える,かえる,تعویض,
4055,変わります。,かわります。,عوض شدن.,
4056,変わる,かわる,تغییر کردن,
4057,変化する,へんか,تغییر یافتن,
4058,変換,へんかん,تبدیل کردن,
4059,変更,へんこう,تغییر دادن,
4060,変数,へんすう,متغیر,
4061,変態,へんたい,دگرگونی,
4062,変態の人,へんたいのひと,فرد منحرف,
4063,変動,へんどう,نوسان,
4064,片方,かたほう,یک طرف,
4065,辺,あたり,سمت,
4066,辺り,あたり,اطراف,around
4067,返済する,へんさい,بازپرداخت,
4068,返事,へんじ,پاسخ,
4069,便り,たより,اخبار,
4070,便秘,べんぴ,یبوست,
4071,便利,べんり,راحت,
4072,便利な,べんりな,راحت,
4073,勉学費,べんがくひ,هزینه های تحصیل,
4074,勉強,べんきょう,مطالعه,
4075,勉強会,べんきょうかい,جلسه مطالعه,
4076,保つ,たもつ,نگهداشتن,
4077,保育園,ほいくえん,پیش‌دبستانی,
4078,保育所,ほいくじょ,محل نگهداری از کودک,
4079,保管する,ほかん,نگه داشتن پیش خود,
4080,保険,ほけん,بیمه,
4081,保護,ほご,حفاظت,
4082,保護者名,ほごしゃめい,اسم مادر یا پدر,
4083,保護者様,ほごしゃさま,ولی محترم,dear guardian
4084,保持する,ほじする,"حفظ کردن ، نگه داشتن",maintain T preserve
4085,保証会社,ほしょうかいしゃ,شرکت گارانتی,
4086,保証期間,ほしょうきかん,دوره ضمانت,
4087,保証人,ほしょうにん,ضامن,
4088,保存,ほぞん,نگهداری ,
4089,保存食,ほぞんしょく,مواد غذایی نگهداری شده,
4090,保有する,ほゆう,در اختیار داشتن,
4091,保留する,ほりゅうする,"معلق کردن ، رزرو کردن برای بعد","pending ,on hold"
4092,舗装,ほそう,آسفالت کردن,
4093,捕まえる,つかまえる,گرفتن (پرنده),
4094,捕まる,つかまる,"گرفتار شدن
دستگیر شدن",
4095,捕手,ほしゅ,شکارچی,
4096,歩く,あるく,پیاده روی,
4097,歩道橋,ほどうきょう,پل عابر پیاده,
4098,補う,おぎなう,جبران کردن,
4099,補助記憶装置,ほじょきおくそうち,حافظه ذخیره سازی دائمی,
4100,補助金,ほじょきん,یارانه,
4101,補足,ほそく,مکمل,
4102,補足事項,ほそくじこう,اطلاعات تکمیلی,
4103,募集,ぼしゅう,استخدام,
4104,募集する,ぼしゅうする,"جذب کردن ، استخدام کردن",
4105,募集中。,ぼしゅうちゅう。,استخدام کردن.,
4106,募集中です,ぼしゅうちゅうです,در حال جذب نیرو هستیم,
4107,募集要項,ぼしゅうようこう,الزامات استخدام,
4108,暮らす,くらす,زندگی کردن,
4109,母国,ぼこく,کشور خود,
4110,母国最終学校,"ぼこくさい
しゅうがっこう",آخرین مدرسه کشور خود,
4111,母親,ははおや,مادرم (محترمانه,
4112,包む,くるむ,بسته بندی کردن,
4113,包帯を巻く,ほうたいをまく,بانداژ پیچیدن,
4114,包丁,ほうちょう,چاقوی آشپزی,
4115,呆れる,あきれる,"مات و مبهوت ، شگفت زده شدن",to be appalled/to surge
4116,呆気だ,あっけだ,من مات و مبهوت هستم,
4117,報告する,ほうこく,گزارش کردن,
4118,報酬,ほうしゅう,پاداش,
4119,宝,たから,گنج,
4120,宝くじ,たからくじ,بخت آزمایی,
4121,宝石,ほうせき,جواهر,
4122,抱きしめる,だきしめる,بغل کردن,
4123,抱き合う,だきあう,در آغوش گرفتن ,
4124,抱っこする,だっこする,در بازو حمل کنید,
4125,放っておく,ほうっておく,"تنهام بذار 
بزارش تو حال خودش",
4126,放ります,ほうります,رها کردن,
4127,放課後に,ほうかごに,بعد از مدرسه,
4128,放棄する,ほうき,رها کردن,
4129,放題,ほうだい,نامحدود,
4130,放置,ほうち,"به حال خودش
گذاشتن",
4131,放屁,ほうひ,گوز,
4132,方,かた,شخص,
4133,方位磁針,ほういじしん,سوزن قطب نما,
4134,方向,ほうこう,جهت,
4135,方向音痴,ほうこうおんち,فقدان حس جهت گیری,
4136,方針,ほうしん,سیاست,
4137,方程式,ほうていしき,معادله,
4138,方必見,とくかたひっけん,حتما ببینید,
4139,方法,ほうほう,راه و روش,
4140,法人,ほうじん,شرکت,
4141,法務省,ほうむしょう,وزارت دادگستری,
4142,法務大臣告示,"ほうむだい
じんこくじ",معرفی وزارت دادگستری,
4143,法律,ほうりつ,قانون,
4144,砲手,ほうしゅ,توپچی,
4145,縫う,ぬう,دوختن با دست,
4146,褒める,ほめる,ستایش / تشویق,
4147,訪れる,おとずれる,بازدید کنید,
4148,訪問,ほうもん,بازدید,
4149,豊かな,ゆたかな,غنی / ثروتمند,
4150,豊富,ほうふ,فراوانی,
4151,豊富なライブラリ,ほうふなライブラリ,کتابخانه غنی,
4152,豊富な資源,ほうふなしげん,منابع فراوان,
4153,飽きる,あきる,"دلت رو بزنه ، خسته بشی از چیزی",get bored with
4154,乏しくなる,とぼしくなる,کمیاب شدن,
4155,忘れる,わすれる,فراموش کردن,
4156,忘れ物,わすれもの,مورد گم شده,
4157,忙しい,いそがしい,پر مشغله,
4158,暴れる,あばれる,داد و بیداد,
4159,暴飲暴食,ぼういんぼうしょく,زیاده روی در نوشیدن,
4160,棒,ぼう,میله نمودار,
4161,棒状,ぼうじょう,میله ای شکل,
4162,膨らみます,ふくらみます,باد کردن,
4163,貿易,ぼうえき,تجارت,
4164,防ぐ,ふせぐ,جلوگیری کردن,to prevent
4165,防止する,ぼうし,برای جلوگیری از,
4166,防犯,ぼうはん,پیشگیری از جرم,
4167,防犯シャッター,"ぼうはん
シャッター",کرکره امنیتی,
4168,吠える犬,ほえるいぬ,پارس سگ,
4169,吠える癖,ほえるくせ,عادت پارس کردن,
4170,頬,ほほ,گونه,
4171,僕,ぼく,من,
4172,牧場主,ぼくじょうぬし,دامدار,
4173,本,ほん,کتاب,
4174,本気,ほんき,حس واقعی,
4175,本校,ほんこう,مدرسه اصلی,
4176,本校指定用紙,"ほんこう
していようし",فرم تعیین شده مدرسه ما,
4177,本国,ほんごく,کشور خود,
4178,本州,ほんしゅう,جزیره هونشو,
4179,本当,ほんとう,واقعاً,
4180,本日,ほんじつ,امروز,
4181,本日休業,ほんじつきゅうぎょう,امروز بسته است,
4182,本物,ほんもの,واقعی,
4183,本論文,ほんろんぶん,مقاله,
4184,凡例,はんれい,راهنمای استفاده,
4185,盆踊り,ぼんおどり,رقص درخیابان,
4186,磨く,みがく,"زدن(مسواک،واکس)",
4187,魔法,まほう,شعبده بازي,
4188,麻婆,あさばば,ماپو,
4189,埋め込む,うめこむ,جاسازی کنید,
4190,埋め立て,うめたて,دفن زباله,
4191,枚,まい,ورق,
4192,毎月。,まいつき。,ماهانه,
4193,毎日,まいにち,هرروز,
4194,枕,まくら,بالش,
4195,又,また,یا,
4196,末,すえ,آخری,
4197,末っ子,すえっこ,بچه آخر,
4198,末経験,すえけいけん,آخرین تجربه,
4199,万年筆,まんねんひつ,قلم خودنویس,
4200,万能ネギ,まんのうねぎ,پیازچه کوچک,
4201,万里の長城,ばんりのちょうじょう,دیوار بزرگ چین,
4202,満（車）,まん,پر,
4203,満たす,みたす,برآورده شدن / رفع شدن / تحقق یافتن,
4204,満足,まんぞく,رضایت داشتن,
4205,満了日,まんりょうび,زمان اتمام,
4206,蔓延する,まんえんする,گسترش,
4207,味が薄いです,あじがうすいです,طعم ضعیف است,
4208,味わう,あじわう,مزه کنید,
4209,味加減,あじかげん,چاشنی,seasoning
4210,味見,あじみ,چشیدن,
4211,味付けする,あじつけ,چاشنی,seasoning
4212,未経験,みけいけん,بی تجربه,
4213,未公表,みこうひょう,منتشر نشده,
4214,未再生,みさいせい,پخش نشده,
4215,未使用,みしよう,استفاده نشده,
4216,未定です,みていです,تصمیم گیری نشده,
4217,未発表,みはっぴょう,منتشر نشده,
4218,未満,みまん,کمتر از,
4219,未来,みらい,آینده دور,
4220,魅力,みりょく,"افسون ، جذب کننده دیگران ",
4221,密度,みつど,تراکم,dencity
4222,妙な,みょうな,عجیب,
4223,民族,みんぞく,مردم,
4224,眠い,ねむい,خوابالو,
4225,夢,ゆめ,رویا,
4226,夢中,むちゅう,غرق چیزی شدن,
4227,無い,ない,نبود,
4228,無くす,なくす,گم کردن,
4229,無意志動詞,むいしどうし,افعال غیر ارادی,
4230,無意識,むいしき,ناخودآگاه,
4231,無遠慮,ぶえんりゅ,بی ملاحظه,
4232,無害,むがい,بی ضرر,
4233,無関係,むかんけい,غیر مرتبط,
4234,無関心,むかんしん,بی تفاوتی,
4235,無限ループ,むげんループ,حلقه بی نهایت,
4236,無効,むこう,بی اعتبار شدن باطل شدن,
4237,無口な,むくちな,کم حرف,
4238,無視する,むしする,چشم پوشی,
4239,無資格,むしかく,فاقد صلاحیت,
4240,無事,ぶじ,"بی خطر ، امن",safe
4241,無事に,ぶじに,بدون خطر,
4242,無常,むじょう,ناپایداری,
4243,無人の,むじんの,بدون مراقبت,unmanned
4244,無線,むせん,بیسیم,wireless
4245,無線LAN,むせんLAN,شبکه بیسیم,wireless
4246,無断,むだん,بدون اجازه,
4247,無地,むじ,طرح ساده,
4248,無用,むよう,بلا استفاده,
4249,無理,むり,ناممکن,
4250,無理に帰る,むりにかえる,به زور تغییر میدم,
4251,無料,むりょう,رایگان,
4252,矛,ほこ,نیزه,
4253,矛盾する,むじゅんする,تناقض دارند,
4254,娘,むすめ,دخترم,
4255,名画,めいが,شاهکار,
4256,名義,めいぎ,نام,
4257,名札をつける,なふだをつける,یک برچسب نام قرار دهید,
4258,名字,みょうじ,نام خانوادگی,last name
4259,名称,めいしょう,نام شغل,
4260,名前,なまえ,اسمتان را اضافه کنید,
4261,命,いのち,جان,
4262,命を粗末にする,いのちをそまつにする,هدر دادن زندگی,
4263,命令,めいれい,دستور,
4264,明くる,あくる, بعدش,next
4265,明くる日,あくるひ,روز بعدش,next day
4266,明けたち,あけたち,سپیده دم,
4267,明け方,あけがた,سپیده دم,dawn
4268,明らかな,あきらかな,"آشکار ، معلوم ، روشنه",obvious
4269,明確,めいかく,"به وضوح
بصورت شفاف
به روشنی",
4270,明確な,めいかくな,روشن,
4271,明確に,めいかくに,به صراحت,
4272,明明後日,しあさって,پس ته فردا,
4273,迷う,まよう,گم کردن راه,
4274,迷子,まいご,بچه گمشده,
4275,迷惑な,めいわくな,مزاحم,
4276,銘柄,めいがら,نام تجاری,
4277,鳴く,なく,گریه کردن,cry
4278,鳴る,なる,زدن,
4279,滅びる,ほろびる,از بین رفتن,
4280,免許証,めんきょしょう,مجوز,
4281,免除,めんじょ,"صرف نظر کردن
معاف شدن از چیزی",
4282,面積,めんせき,مساحت /متراژ,
4283,面接,めんせつ,مصاحبه,
4284,面接官,めんせつかん,مصاحبه کننده,
4285,面談,めんだん,مشورت کردن,
4286,面談する,めんだんする,مصاحبه داشتن,
4287,面倒くさい,めんどうくさい,آزاردهنده,
4288,面白い,おもしろい,جالب,
4289,面目が立つ,めんぼくがたつ,چهره خود را برجسته کنید,
4290,模擬試験,もぎしけん,امتحان تمرینی,
4291,猛勉強,もうべんきょう,مطالعه زیاد,
4292,網棚,あみだな,دندانه دار کردن,
4293,儲かる,もうかる,کسب سود,
4294,木,き,درخت,
4295,木彫り,きぼり,کنده کاری چوب,
4296,黙る,だまる,ساکت بودن,be quiet
4297,目が覚めました,めがさめました,من از خواب بيدار شدم,
4298,目が飛び出る,めがとびでる,چشمم از حدقه در اومد,
4299,目をやる,めをやる,نگاه کردن به چیزی,
4300,目安,めやす,دستورالعمل,
4301,目安と,めやすと,به عنوان یک راهنما,
4302,目覚まし時計,めざましとけい,ساعت زنگدار,
4303,目指す,めざす,هدف برای چیزی,to aim for
4304,目的,もくてき,هدف,
4305,目的地,もくてきち,مقصد (بسته),
4306,目標,もくひょう,اهداف,
4307,目立つ,めだつ,خودنمایی /برجسته,
4308,目立った傷,めだったきず,خط و خش,
4309,目力,めぢから,قدرت بینایی,
4310,戻り値,もどりち,مقدار برگردانده شده,return value
4311,戻る,もどる,برگرداندن,return
4312,問い,とい,سوال,
4313,問い合わせ,といあわせ,"استعلام کردن
جویا شدن",
4314,問い合わせ殺到しいるため,といあわせさっとうしいるため,با توجه به هجوم سوالات,
4315,問題を解く,もんだいをとく,مشکل را حل کند,
4316,門,もん,دروازه,
4317,夜明け前,よあけまえ,قبل از سحر,
4318,野球,やきゅう,بیسبال,
4319,野球場,やきゅうじょう,استادیوم بیسبال,
4320,野原で,のはらで,در زمینه,
4321,野菜,やさい,سبزیجات,
4322,矢印,やじるし,فلش,
4323,役に立つ,やくにたつ,مفید,
4324,役割り,やくわり,تقسیم کار,
4325,役所,やくしょ,دفتر شهرداری,city office
4326,役職,やくしょく,پست,
4327,役職名,やくしょくめい,عنوان شغلی,
4328,役人,やくにん,کارمند رسمی,
4329,役目,やくめ,"وظیفه ، نقش",duty
4330,役立つ,やくだつ,مفید بودن,
4331,約束,やくそく,قرار / قول / وعده,promise
4332,約束する,やくそくする,رزرو کردن,make an appointment
4333,約束を破る,やくそくをやぶる,عهد شکستن,to break a promise
4334,薬,くすり,دارو,medicine
4335,薬が効く,やくがきく,اثر کردن دارو,
4336,薬価,やっか,قیمت دارو,
4337,薬局,やっきょく,داروخانه,pharmacy
4338,訳す,やくす,تغییر زبان,
4339,油,あぶら,روغن,
4340,油をひく,あぶらをひく,روغن بمالید,
4341,輸出,ゆしゅつ,صادرات,
4342,輸入,ゆにゅう,واردات,
4343,唯ー,ゆい,"تنها،فقط","only,solely"
4344,優しい,やさしい,دلسوز,
4345,優秀,ゆうしゅう,عالی,
4346,優秀な,ゆうしゅうな,"برجسته ، فوق العاده","excellent , outstanding"
4347,優勝,ゆうしょう,پیروزی,Victory
4348,優勝する,ゆうしょう,قهرمان شدن,
4349,優先に譲りします。,ゆうせんにゆずりします,"ترجیح میدهم ، الویت میدهم",I will prioritize
4350,優先度,ゆうせんど,اولویت,prioritize
4351,優良な,ゆうりょうな,عالی,
4352,勇気,ゆうき,شجاعت,courage
4353,勇者,ゆうしゃ,قهرمان ,hero
4354,友情,ゆうじょう,دوستی,
